Repository Name,PR Title,PR URL,Age (days)
productsupcom/js-components,chore(deps): bump scss-tokenizer and node-sass,https://github.com/productsupcom/js-components/pull/10,475
productsupcom/js-components,chore(deps): bump moment from 2.27.0 to 2.29.4,https://github.com/productsupcom/js-components/pull/8,475
productsupcom/js-components,chore(deps): bump minimatch from 3.0.4 to 3.0.8,https://github.com/productsupcom/js-components/pull/7,475
productsupcom/js-components,chore(deps): bump terser from 4.8.0 to 4.8.1,https://github.com/productsupcom/js-components/pull/6,586
productsupcom/js-components,chore(deps): bump eventsource from 1.0.7 to 1.1.1,https://github.com/productsupcom/js-components/pull/5,636
productsupcom/js-components,chore(deps): bump lodash from 4.17.4 to 4.17.21,https://github.com/productsupcom/js-components/pull/3,708
productsupcom/bin-xml,Test Jenkinsfile alignment for core-team binaries,https://github.com/productsupcom/bin-xml/pull/131,610
productsupcom/bin-server-tools,Add a command to add a sub-domain to Route53,https://github.com/productsupcom/bin-server-tools/pull/3,2462
productsupcom/bin-blibli,Bump guzzlehttp/psr7 from 1.4.2 to 1.9.1,https://github.com/productsupcom/bin-blibli/pull/6,314
productsupcom/bin-blibli,Bump guzzlehttp/guzzle from 6.3.0 to 6.5.8,https://github.com/productsupcom/bin-blibli/pull/5,616
productsupcom/flexilog,Initial work on moving the Processor for messages to a separate class,https://github.com/productsupcom/flexilog/pull/21,2295
productsupcom/flexilog-extras,Update PlatformHandler.php,https://github.com/productsupcom/flexilog-extras/pull/1,2387
productsupcom/bin-xlsx2csv,Bump productsupcom/logger-binary from 5.0.1 to 5.1.1,https://github.com/productsupcom/bin-xlsx2csv/pull/17,400
productsupcom/bin-ebay-marketplace,DEV-5358 Main Pull Request,https://github.com/productsupcom/bin-ebay-marketplace/pull/40,1286
productsupcom/lib-sqlite,php81 init,https://github.com/productsupcom/lib-sqlite/pull/42,940
productsupcom/roland,Bump certifi from 2018.11.29 to 2022.12.7 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/19,447
productsupcom/roland,Bump decode-uri-component from 0.2.0 to 0.2.2 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/18,449
productsupcom/roland,Bump follow-redirects from 1.5.9 to 1.14.8 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/17,745
productsupcom/roland,Bump ajv from 6.9.1 to 6.12.6 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/16,745
productsupcom/roland,Bump tar from 4.4.6 to 4.4.19 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/14,909
productsupcom/roland,Bump hosted-git-info from 2.7.1 to 2.8.9 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/12,1022
productsupcom/roland,Bump lodash from 4.17.11 to 4.17.21 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/11,1023
productsupcom/roland,Bump y18n from 3.2.1 to 3.2.2 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/10,1064
productsupcom/roland,Bump ini from 1.3.5 to 1.3.8 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/9,1173
productsupcom/roland,Bump electron from 4.0.0 to 9.1.0 in /telephone-booth,https://github.com/productsupcom/roland/pull/7,1331
productsupcom/roland,Bump acorn from 6.1.0 to 6.4.1 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/6,1423
productsupcom/roland,Bump urllib3 from 1.24.1 to 1.24.2 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/5,1450
productsupcom/roland,Bump eslint-utils from 1.3.1 to 1.4.3 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/3,1450
productsupcom/roland,Bump mixin-deep from 1.3.1 to 1.3.2 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/2,1450
productsupcom/roland,Bump js-yaml from 3.12.1 to 3.13.1 in /employee-management/pup-tech-radar,https://github.com/productsupcom/roland/pull/1,1450
productsupcom/accounting-jenkins,Kenshoo,https://github.com/productsupcom/accounting-jenkins/pull/1,799
productsupcom/bin-tripadvisor,Bump phpstan/phpstan from 0.11.19 to 0.12.94,https://github.com/productsupcom/bin-tripadvisor/pull/110,943
productsupcom/bin-tripadvisor,Bump symfony/console from 4.2.12 to 4.4.29,https://github.com/productsupcom/bin-tripadvisor/pull/109,943
productsupcom/bin-tripadvisor,[Security] Bump symfony/http-foundation from 5.0.5 to 5.3.6,https://github.com/productsupcom/bin-tripadvisor/pull/108,943
productsupcom/bin-tripadvisor,Bump productsupcom/php-cs-fixer-config from 1.3.0 to 1.3.8,https://github.com/productsupcom/bin-tripadvisor/pull/104,960
productsupcom/bin-tripadvisor,Upgrade to GitHub-native Dependabot,https://github.com/productsupcom/bin-tripadvisor/pull/85,1034
productsupcom/bin-tripadvisor,Bump guzzlehttp/guzzle from 6.5.2 to 7.3.0,https://github.com/productsupcom/bin-tripadvisor/pull/80,1071
productsupcom/bin-tripadvisor,Bump productsupcom/lib-service from 1.9.0 to 3.1.0,https://github.com/productsupcom/bin-tripadvisor/pull/78,1077
productsupcom/bin-tripadvisor,Bump productsupcom/workspace from 1.1.5 to 1.4.0,https://github.com/productsupcom/bin-tripadvisor/pull/67,1106
productsupcom/bin-tripadvisor,Bump graylog2/gelf-php from 1.6.4 to 1.7.0,https://github.com/productsupcom/bin-tripadvisor/pull/60,1119
productsupcom/bin-tripadvisor,Bump productsupcom/monolog-extras from 1.0.1 to 1.0.2,https://github.com/productsupcom/bin-tripadvisor/pull/52,1132
productsupcom/bin-tripadvisor,Bump symfony/monolog-bridge from 3.4.38 to 4.3.11,https://github.com/productsupcom/bin-tripadvisor/pull/25,1210
productsupcom/image-designer,[DEV-15962] Add Keycloak,https://github.com/productsupcom/image-designer/pull/117,132
productsupcom/bin-geolocation,Bump symfony/console from 5.4.26 to 5.4.36,https://github.com/productsupcom/bin-geolocation/pull/143,0
productsupcom/bin-geolocation,Bump symfony/http-kernel from 5.4.9 to 5.4.20,https://github.com/productsupcom/bin-geolocation/pull/132,391
productsupcom/bin-geolocation,Bump productsupcom/logger-binary from 5.0.1 to 5.1.1,https://github.com/productsupcom/bin-geolocation/pull/130,400
productsupcom/bin-geolocation,Bump productsupcom/lib-service from 4.1.0 to 4.2.0,https://github.com/productsupcom/bin-geolocation/pull/125,496
productsupcom/ds-color-detection,Bump werkzeug from 0.15.3 to 2.2.3 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/64,377
productsupcom/ds-color-detection,Bump ipython from 5.1.0 to 8.10.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/63,382
productsupcom/ds-color-detection,Bump certifi from 2017.1.23 to 2022.12.7 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/61,447
